Version,Answer,Correct
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,a,No
1,b,No
1,b,No
1,b,No
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,c,Yes
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
1,d,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,a,No
2,b,No
2,b,No
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
2,c,Yes
