CellPhone,EyeColor,ColorBlind,Gender,HairColor,HairLength,Wet,Lather,Rinse,YearinSchool,Age,BirthWeight(oz),Height(in),IdealHeight,IdealEyeColor,IdealHairColor,CreditHours,SchoolWork,OffCampusWork,OnCampusWork,FromIowa?,FromUS?,States,Countries,Living
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Senior,22,17,73,69,Blue,Brown,14,6,None,1 - 10 hours,Yes,Yes,7,4,Off-campus housing
I own a cell phone that is not a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,21,67,70,Hazel/Green,Brown,16,5,None,None,Yes,Yes,5,0,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Other,Junior,20,160,71,68,Blue,Black,17,20,11 - 20 hours,None,No,Yes,20,3,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,160,65,72,No preference,No Preference,16,25,None,None,No,Yes,46,2,Fraternity/Sorority housing
I do not own a cell phone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,21,160,67,73,No preference,No Preference,18,20,None,1 - 10 hours,No,No,5,7,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Toward the shower,Toward the shower,Toward the shower,Junior,21,160,76,73,Hazel/Green,Brown,15,3,None,None,Yes,Yes,10,4,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Junior,20,161,70,67,Hazel/Green,No Preference,13,22,None,None,Yes,Yes,20,5,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Junior,20,161,73,67,Blue,No Preference,17,20,None,None,No,Yes,30,20,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Other,22,170,68,76,Blue,Brown,12,2,11 - 20 hours,None,Yes,Yes,13,4,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Red,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,171,63,71,Brown,Brown,16,15,None,None,Yes,Yes,17,3,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,171,67,75,Blue,Brown,16,7,None,11 - 20 hours,No,Yes,11,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,162,69,58,Blue,Brown,16,12,None,None,Yes,Yes,39,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,163,68,72,Hazel/Green,No Preference,14,12,None,None,No,Yes,11,2,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,167,69,68,No preference,Red,15,15,None,None,Yes,Yes,10,0,Off-campus housing
