"Religion","Wrong"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Almost.Always"
"Catholic","Sometimes"
"Catholic","Sometimes"
"Catholic","Sometimes"
