First,Second
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
Approve,Approve
