Afterlife,Gender,Race
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Yes,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
Undecided,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
No,Female,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Yes,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
Undecided,Male,White
