Question1,Question2
A,A
A,A
A,A
A,A
A,A
A,A
A,A
A,A
A,A
A,A
A,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
B,A
C,A
C,A
C,A
C,A
C,A
D,A
D,A
D,A
D,A
D,A
D,A
D,A
D,A
D,A
D,A
A,B
A,B
A,B
A,B
A,B
A,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
C,B
C,B
C,B
C,B
C,B
C,B
C,B
C,B
C,B
C,B
C,B
D,B
D,B
D,B
A,C
A,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
B,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
C,C
D,C
D,C
D,C
D,C
D,C
D,C
D,C
D,C
D,C
D,C
D,C
A,D
A,D
A,D
A,D
A,D
A,D
A,D
A,D
A,D
A,D
A,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
B,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
C,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
D,D
