Smoke,Sex
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
Nonsmoker,Male
